CountryName,date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H6_Flag,ConfirmedCases,StringencyIndex,2020_sca,mean_sca,inc,mean,dif
Belgium,20200224,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,0.0,,1.0,11.11,0.8623099279164309,0.5166588989180183,0.66,0.39544352006920064,-0.3456510289984126
Belgium,20200302,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,1.0,2.0,0.0,,8.0,11.11,0.5226120775251096,0.4990513260662693,0.4,0.38196692922183123,-0.023560751458840345
Belgium,20200309,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,,239.0,13.89,0.29099990680375426,0.4684293099112201,0.22272727272727275,0.35852926486469405,0.17742940310746586
Belgium,20200316,2.0,1.0,2.0,1.0,2.0,1.0,0.0,,0.0,,0.0,,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,,1058.0,50.93,0.05938773608239882,0.38935843140957116,0.045454545454545456,0.29800951654498564,0.3299706953271723
Belgium,20200323,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,,2.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,,3743.0,81.48,0.0,0.38261768284507425,0.0,0.29285024154589373,0.38261768284507425
Bulgaria,20200113,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,0.9487897847268763,0.5671641791044776,0.5460960707394196,-0.05121021527312375
Bulgaria,20200120,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.9779036769955927,0.6339911429219875,0.5580736543909348,0.4165865214562087,-0.3439125340736051
Bulgaria,20200127,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.8321579205405636,0.5195076778362739,0.4981132075471698,0.3694875191269022,-0.31265024270428965
Bulgaria,20200203,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,2.78,0.6287114060192176,0.644243366553026,0.4144144144144144,0.42080433146324625,0.015531960533808453
Bulgaria,20200210,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,2.78,0.6894290950236772,0.37025973355368963,0.4393939393939394,0.30808625676865053,-0.3191693614699876
