,C6_sub_index,Lag_1_C6_sub_index,Lag_2_C6_sub_index,Lag_3_C6_sub_index,Lag_4_C6_sub_index,Lag_5_C6_sub_index,Lag_6_C6_sub_index,Lag_7_C6_sub_index,Lag_8_C6_sub_index,Lag_9_C6_sub_index,Lag_10_C6_sub_index,Lag_11_C6_sub_index,Lag_12_C6_sub_index,Lag_13_C6_sub_index,Lag_14_C6_sub_index,Lag_30_C6_sub_index
0,0.49522854361440644,0.491453181151971,0.4900849980188228,0.48301927282008683,0.48241233015117646,0.4916143344045315,0.4241092855724464,0.41838023497840293,0.4360291182288286,0.4183954188097379,0.3998785827434794,0.4056702614657756,0.36502956486191807,0.34013300699605814,0.3063283626178114,0.20371967900781057
0,0.49677594492212573,0.49726292653146226,0.49565218784336385,0.4911815922637871,0.5007346515899378,0.507963395263682,0.4833305079793808,0.4823495845486651,0.4822131477194505,0.452042567629224,0.4366004381278746,0.44136090618825413,0.4081893274725143,0.36832077048522294,0.3587853427234786,0.03986251320516471
0,0.5297249900658856,0.5462669966437325,0.5441535632509432,0.5377650139627385,0.5426348875997911,0.535013711465979,0.44792360788130703,0.43661843554751706,0.42847641457839986,0.39725220837920827,0.38112489748718237,0.3845375474351955,0.3808626118664741,0.33922636603553413,0.32444246412919825,0.041376334546734915
0,0.5082496083616516,0.5074941614094245,0.49257454135391415,0.4832774502149315,0.4853062184477791,0.4887060247949792,0.4459987724363989,0.4295381797648193,0.4278474213697726,0.40335990092778007,0.36802829282237476,0.3635310858153017,0.3468813611922535,0.341223348623118,0.331922170777459,0.10514346966174945
0,0.4275987116296327,0.42180562728330434,0.421757490351975,0.40180266552067123,0.43533415020298166,0.4560962644599157,0.387528806247755,0.3700308428549716,0.3817677544633731,0.3817677544633731,0.3676459957320523,0.3797429743624722,0.37232123708001014,0.3486800878129498,0.3416824157368777,0.08130133760292048
0,0.5169749250258396,0.5358826143954708,0.5346357671834454,0.5423483642896325,0.5473536727240678,0.5693497882980579,0.5246146900672767,0.5180374312208749,0.5039968434543144,0.4573463007114601,0.43628993330317184,0.4357019446228086,0.4111512555718227,0.37727121232419975,0.35731372339875817,0.10588625190424508
0,0.5445035732828734,0.5461174470827063,0.5478470284360114,0.5404523669542363,0.5475180916490869,0.5472493734077148,0.5031523872896727,0.47088843805902403,0.485775224096014,0.45575803027308315,0.41423174974047766,0.41667840718285587,0.4161452992646978,0.36550749349455974,0.3505937380674672,0.12068003753621831
0,0.5213141417186081,0.5362608684956656,0.5310534906167319,0.5245275664540747,0.5341795374016649,0.5292785249413915,0.472665789446751,0.45244591337144124,0.450388142844919,0.4149693227964818,0.4002228892563793,0.40581545021956245,0.39454889751066163,0.35452777433887533,0.3369276448426568,-0.00259478344693504
0,0.5640093152228535,0.5551361810519523,0.5543847936912191,0.5458239058428767,0.5443698497718186,0.5448971172611736,0.4719385181556866,0.47273766238407844,0.46751421383991465,0.41604213019852954,0.39824093723402626,0.3992022503715437,0.3939665911750462,0.3449614491787608,0.3324543272531703,0.1217143532551555
0,0.5416721295670444,0.5293498878687496,0.5219004116315855,0.5219857867029641,0.5340638789023151,0.5145921738279112,0.48017469337658725,0.46714244062155424,0.47084369260267883,0.45454270448443435,0.43860890463452046,0.44516259466800484,0.4251700726347099,0.3922579126192456,0.369491026365221,0.21140815848055108
0,0.45600906218949894,0.46301399515537506,0.4640211846423283,0.46269796286272175,0.4594120581021129,0.45657675587776614,0.4165298175570312,0.4012024716619607,0.4034314103107858,0.37125273879107307,0.36409828305091335,0.3663886133391059,0.34428611957389255,0.34151814400600683,0.31168401974965265,0.05834287966077039
0,0.5276336627747316,0.5160981800050419,0.5087625485319918,0.49209265406697694,0.4959808798695632,0.47585424441312607,0.4510357676411623,0.438605133435523,0.44346286046408046,0.40568897993422703,0.3940757767291072,0.40912003267748465,0.4046453458767407,0.3711283952830519,0.3607480823974781,0.08261557959078693
0,0.49743298955516585,0.4995398152373682,0.4951360333185205,0.48170496258459017,0.4861238635539786,0.4736765500956247,0.4268436022734041,0.41907672902557486,0.42777411096376494,0.42190318196156557,0.40726198648581513,0.40702380813972117,0.36753451809988047,0.3309241969466856,0.3104758789068966,0.06313175972234221
0,0.5708353899798966,0.5805265382818244,0.5793048960152096,0.5794570132675946,0.5883926742280913,0.5907381397498233,0.5484364689261029,0.5432307219861784,0.5377717953030259,0.5230494860052093,0.5190660266931914,0.5168371933456265,0.5044713374003027,0.4429871705759492,0.42736398273841847,0.18380735855168798
0,0.46353047264025493,0.48148044699136355,0.4630791121849442,0.4580061581823275,0.4771409320130226,0.46457423408656223,0.4134400254745132,0.39801674543994275,0.42096756049774725,0.4079287163186425,0.39747587637373916,0.4020379835439264,0.38779608790107056,0.3574067094797125,0.3373494425744751,0.15440696201662435
0,0.46143500070154264,0.46197182651819924,0.45621895966998144,0.44207042194156654,0.44178720357956824,0.4307570813769405,0.4223873494491904,0.4141879018398201,0.41801451190413125,0.40535589980651576,0.39373105604607356,0.39344313729069424,0.3869924542664968,0.3536618516785386,0.34494290780367054,0.16234765155768788
0,0.5194678511526009,0.5181768862460326,0.5120752305862905,0.5063536710936064,0.506055703035847,0.50830847992533,0.473137345796854,0.46917419314345415,0.47032566795962893,0.458082197656187,0.4298454233829586,0.43157665781067245,0.40834587882088647,0.39407036095890763,0.36705429048913657,0.2143551653219982
